CounterClockwiseContourIntegral;,∳,8755
DoubleLongLeftRightArrow;,⟺,10234
NotNestedGreaterGreater;,⪢̸,10914
ClockwiseContourIntegral;,∲,8754
NotGreaterSlantEqual;,⩾̸,10878
NotSquareSupersetEqual;,⋣,8931
CloseCurlyDoubleQuote;,”,8221
DiacriticalDoubleAcute;,˝,733
DoubleContourIntegral;,∯,8751
DoubleLongRightArrow;,⟹,10233
FilledVerySmallSquare;,▪,9642
NegativeVeryThinSpace;,​,8203
NotPrecedesSlantEqual;,⋠,8928
NotRightTriangleBar;,⧐̸,10704
NotRightTriangleEqual;,⋭,8941
NotSucceedsSlantEqual;,⋡,8929
ReverseUpEquilibrium;,⥯,10607
CapitalDifferentialD;,ⅅ,8517
DoubleLeftRightArrow;,⇔,8660
DoubleLongLeftArrow;,⟸,10232
DownLeftRightVector;,⥐,10576
EmptyVerySmallSquare;,▫,9643
NestedGreaterGreater;,≫,8811
NotDoubleVerticalBar;,∦,8742
NotGreaterFullEqual;,≧̸,8807
NotLeftTriangleBar;,⧏̸,10703
NotLeftTriangleEqual;,⋬,8940
NotSquareSubsetEqual;,⋢,8930
OpenCurlyDoubleQuote;,“,8220
DownRightTeeVector;,⥟,10591
DownRightVectorBar;,⥗,10583
LeftArrowRightArrow;,⇆,8646
LongLeftRightArrow;,⟷,10231
Longleftrightarrow;,⟺,10234
NegativeMediumSpace;,​,8203
NotLessSlantEqual;,⩽̸,10877
NotNestedLessLess;,⪡̸,10913
RightArrowLeftArrow;,⇄,8644
RightDoubleBracket;,⟧,10215
RightDownTeeVector;,⥝,10589
RightDownVectorBar;,⥕,10581
SquareSupersetEqual;,⊒,8850
leftrightsquigarrow;,↭,8621
longleftrightarrow;,⟷,10231
DownLeftTeeVector;,⥞,10590
DownLeftVectorBar;,⥖,10582
GreaterSlantEqual;,⩾,10878
LeftDoubleBracket;,⟦,10214
LeftDownTeeVector;,⥡,10593
LeftDownVectorBar;,⥙,10585
NegativeThickSpace;,​,8203
NotGreaterGreater;,≫̸,8811
NotPrecedesEqual;,⪯̸,10927
NotSquareSuperset;,⊐̸,8848
NotSucceedsEqual;,⪰̸,10928
PrecedesSlantEqual;,≼,8828
ReverseEquilibrium;,⇋,8651
RightAngleBracket;,⟩,10217
RightTriangleEqual;,⊵,8885
RightUpDownVector;,⥏,10575
SquareIntersection;,⊓,8851
SucceedsSlantEqual;,≽,8829
VerticalSeparator;,❘,10072
blacktriangleright;,▸,9656
DoubleUpDownArrow;,⇕,8661
DoubleVerticalBar;,∥,8741
FilledSmallSquare;,◼,9724
LeftAngleBracket;,⟨,10216
LeftTriangleEqual;,⊴,8884
LeftUpDownVector;,⥑,10577
NegativeThinSpace;,​,8203
NotReverseElement;,∌,8716
NotSucceedsTilde;,≿̸,8831
NotTildeFullEqual;,≇,8775
RightTriangleBar;,⧐,10704
RightUpTeeVector;,⥜,10588
RightUpVectorBar;,⥔,10580
SquareSubsetEqual;,⊑,8849
blacktriangledown;,▾,9662
blacktriangleleft;,◂,9666
leftrightharpoons;,⇋,8651
rightleftharpoons;,⇌,8652
twoheadrightarrow;,↠,8608
DoubleRightArrow;,⇒,8658
DownArrowUpArrow;,⇵,8693
EmptySmallSquare;,◻,9723
GreaterEqualLess;,⋛,8923
GreaterFullEqual;,≧,8807
LeftRightVector;,⥎,10574
LeftTriangleBar;,⧏,10703
LeftUpTeeVector;,⥠,10592
LeftUpVectorBar;,⥘,10584
LessEqualGreater;,⋚,8922
NotHumpDownHump;,≎̸,8782
NotRightTriangle;,⋫,8939
NotSquareSubset;,⊏̸,8847
NotSupersetEqual;,⊉,8841
UnderParenthesis;,⏝,9181
UpArrowDownArrow;,⇅,8645
circlearrowright;,↻,8635
downharpoonright;,⇂,8642
ntrianglerighteq;,⋭,8941
rightharpoondown;,⇁,8641
rightrightarrows;,⇉,8649
twoheadleftarrow;,↞,8606
vartriangleright;,⊳,8883
CloseCurlyQuote;,’,8217
ContourIntegral;,∮,8750
DiacriticalAcute;,´,180
DiacriticalTilde;,˜,732
DoubleDownArrow;,⇓,8659
DoubleLeftArrow;,⇐,8656
DownRightVector;,⇁,8641
GreaterGreater;,⪢,10914
LessSlantEqual;,⩽,10877
LongRightArrow;,⟶,10230
